id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
3781,HARBORSIDE-Walk to subway,4804,Frank,,East Boston,42.36413,-71.02991,Entire home/apt,125,32,21,2021-07-25,0.29,1,153,4,
5506,** Private! Minutes to center!**,8229,Terry,,Roxbury,42.32981,-71.09559,Entire home/apt,124,3,108,2021-07-19,0.90,10,46,1,Approved by the government
6695,Home Away from Home! Condo,8229,Terry,,Roxbury,42.32994,-71.09351,Entire home/apt,169,3,115,2019-11-02,1.33,10,62,0,STR446650
8789,Curved Glass Studio/1bd facing Park,26988,Anne,,Downtown,42.35919,-71.06265,Entire home/apt,110,91,25,2019-09-30,0.30,5,310,0,
10730,Bright 1bed facing Golden Dome,26988,Anne,,Downtown,42.3584,-71.06185,Entire home/apt,100,91,32,2020-04-16,0.40,5,277,0,
10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",38997,Michelle,,Back Bay,42.35061,-71.08787,Entire home/apt,116,29,5,2020-12-02,0.16,11,329,1,
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,Michelle,,North End,42.36352,-71.05075,Entire home/apt,106,33,2,2016-05-23,0.03,11,323,0,
13247,Back Bay studio apartment,51637,Susan,,Back Bay,42.35164,-71.08752,Entire home/apt,75,91,0,,,2,0,0,
16384,Small Room in Cambridge Kendall MIT,23078,Eric,,Beacon Hill,42.3581,-71.07132,Private room,50,91,0,,,1,365,0,
18711,The Dorset Redline | 3BR 1BA | Short walk to Redline for Mass General and UMass!,71783,Lance,,Dorchester,42.32212,-71.06096,Entire home/apt,111,30,52,2019-10-05,0.96,27,274,0,
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,,South End,42.34496,-71.07486,Private room,148,29,316,2019-11-04,3.06,4,90,0,STR-410426
29765,"Luxury suite, Moroccan furnishings",128280,Elizabeth,,Charlestown,42.37754,-71.06642,Entire home/apt,226,2,96,2021-08-09,0.72,1,27,3,STR-454024
40601,Private room & bath - Jamaica Plain,174986,Robert,,Jamaica Plain,42.3151,-71.11108,Private room,100,10,82,2021-08-31,0.72,1,172,5,STR-408632
45987,Gorgeous Garden Studio Charlestown,205107,Atef,,Charlestown,42.37404,-71.06118,Entire home/apt,125,29,131,2021-09-06,0.97,1,8,1,STR-409822
47521,Beautiful big Victorian House/A,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,55,91,331,2019-04-13,2.48,6,365,0,
60029,Room in geographical heart of Hub,255183,Michelle,,Roxbury,42.32546,-71.08894,Private room,80,7,142,2021-08-28,1.24,5,133,1,STR-415714
67774,Corner 1 bed facing Golden Dome,26988,Anne,,Beacon Hill,42.35867,-71.06332,Entire home/apt,93,91,46,2021-08-18,0.99,5,292,2,
69369,Entire two-bedroom apartment near Longwood,255183,Michelle,,Roxbury,42.32546,-71.08894,Entire home/apt,100,28,120,2019-11-09,0.98,5,144,0,STR-415714
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,,Charlestown,42.37853,-71.06177,Private room,140,2,55,2021-08-27,2.37,1,344,1,STR-415924
77691,Beautiful Victorian House,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,300,91,282,2019-05-26,2.92,6,109,0,
163941,2 bed Duplex ApT! Location!,8229,Terry,,Roxbury,42.32965,-71.09503,Entire home/apt,232,3,230,2021-08-26,2.33,10,71,2,STR446659
179244,Beautiful room with private bath,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,65,91,93,2018-08-03,0.81,6,291,0,
179245,Room in Beautiful Townhouse /F,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,60,91,47,2019-05-26,0.41,6,227,0,STR-457920
182613,Great 2BR in Boston near everything w free parking,875739,Max,,Charlestown,42.37739,-71.06044,Entire home/apt,199,91,108,2021-05-05,1.46,1,12,2,
190170,In-Law Suite w/Room to Spare :-),841314,Fanny & Candice,,Dorchester,42.31039,-71.06907,Entire home/apt,49,7,73,2021-01-16,1.92,1,159,3,STR-384505
197727,"Great Boston neighborhood , Jamaica Plain",964356,Jill,,Jamaica Plain,42.3132,-71.11832,Private room,60,30,50,2021-08-14,0.46,1,89,6,C0245420351
197972,Serene Studio in a Perfect Location,965697,Chris & Kristina,,Jamaica Plain,42.31732,-71.10834,Entire home/apt,138,3,410,2021-08-28,3.73,2,28,22,STR-409453
205894,Beautiful Victorian House/Room B,119019,Hermina,,Dorchester,42.29871,-71.05954,Private room,60,91,204,2019-05-26,1.77,6,364,0,
210097,Treetop Haven in the City,1035747,Maria Elena,,Jamaica Plain,42.31864,-71.10641,Entire home/apt,102,3,219,2021-09-02,2.43,1,238,24,STR-414064
220676,Private room off the Freedom Trail.,1144302,Howard,,North End,42.36539,-71.05438,Private room,150,3,256,2021-09-13,2.32,1,40,5,STR-396046
257588,BOSTON LUXURY FOR LESS!! NEAR BCEC,1355344,Meri,,South Boston,42.33066,-71.03984,Entire home/apt,261,2,364,2021-08-30,3.76,1,221,32,STR-411297
315982,Beautiful Two BR & Two Bathroom Townhouse,119019,Hermina,,Dorchester,42.29871,-71.05954,Entire home/apt,165,91,114,2019-08-11,1.04,6,290,0,
400067,Private Room in Spacious Apartment1,1997048,ToRena,,Dorchester,42.30088,-71.0819,Private room,60,91,24,2019-08-21,0.24,4,363,0,
447826,"Sweet Little House in JP, Boston",2053557,Hilary,,Jamaica Plain,42.31658,-71.11012,Private room,71,3,325,2021-09-04,3.27,1,227,12,STR-389085
